go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0022607	cellular component assembly	biological_process	8	91	1775	34268	1.7	9.930e-02	2.158e-01		LOC120020307,LOC120040161,LOC120050135,LOC120053598,LOC120056781,LOC120056805,LOC120057339,crtc3
GO:0007399	nervous system development	biological_process	6	91	1220	34268	1.85	1.060e-01	2.256e-01		LOC120020307,LOC120025537,LOC120040412,LOC120056781,LOC120057339,LOC120066463
GO:0015629	actin cytoskeleton	cellular_component	4	91	678	34268	2.22	1.066e-01	2.256e-01		LOC120019576,LOC120032363,LOC120054371,LOC120056805
GO:0042578	phosphoric ester hydrolase activity	molecular_function	4	91	683	34268	2.21	1.087e-01	2.272e-01		LOC120024897,LOC120053718,gde1,ptprc
GO:0051641	cellular localization	biological_process	8	91	1836	34268	1.64	1.146e-01	2.364e-01		LOC120020198,LOC120032363,LOC120046589,LOC120056503,LOC120060868,ap2b1,cracr2b,vps50
GO:0045202	synapse	cellular_component	5	91	995	34268	1.89	1.254e-01	2.556e-01		LOC120020198,LOC120020307,LOC120057339,LOC120066718,cracr2b
GO:1901137	carbohydrate derivative biosynthetic process	biological_process	3	91	474	34268	2.38	1.321e-01	2.658e-01		LOC120048047,LOC120049548,LOC120055734
GO:0033036	macromolecule localization	biological_process	7	91	1609	34268	1.64	1.358e-01	2.699e-01		LOC120032363,LOC120046589,LOC120056503,LOC120060868,ap2b1,cracr2b,pphln1
GO:0007010	cytoskeleton organization	biological_process	6	91	1324	34268	1.71	1.403e-01	2.755e-01		LOC120032210,LOC120032363,LOC120036268,LOC120040161,LOC120056805,iqsec3a
GO:0042325	regulation of phosphorylation	biological_process	3	91	497	34268	2.27	1.461e-01	2.835e-01		LOC120053194,ptprc,sh2d3a
GO:0071495	cellular response to endogenous stimulus	biological_process	3	91	506	34268	2.23	1.517e-01	2.855e-01		LOC120028089,LOC120053194,cracr2b
GO:0007017	microtubule-based process	biological_process	4	91	780	34268	1.93	1.537e-01	2.855e-01		LOC120032210,LOC120036268,LOC120040161,dnah2
GO:0051239	regulation of multicellular organismal process	biological_process	4	91	781	34268	1.93	1.542e-01	2.855e-01		LOC120030672,LOC120040412,LOC120046589,LOC120056805
GO:0044085	cellular component biogenesis	biological_process	8	91	1994	34268	1.51	1.597e-01	2.855e-01		LOC120020307,LOC120040161,LOC120050135,LOC120053598,LOC120056781,LOC120056805,LOC120057339,crtc3
GO:0099536	synaptic signaling	biological_process	3	91	520	34268	2.17	1.606e-01	2.855e-01		LOC120020198,LOC120060868,LOC120062883
GO:0016757	glycosyltransferase activity	molecular_function	3	91	520	34268	2.17	1.606e-01	2.855e-01		LOC120021129,LOC120048047,LOC120055734
GO:0005768	endosome	cellular_component	3	91	520	34268	2.17	1.606e-01	2.855e-01		LOC120056503,cracr2b,vps50
